company,location,salary,title
"
        CyberFortress Insurance Services US","San Antonio, TX",Unknown,Data Scientist
"
        Armaments Research Company, Inc.","Washington, DC",Unknown,Data Scientist
"

        Ranker","Los Angeles, CA",Unknown,Junior Data Scientist
"
        ERNIESYS","Seattle, WA",Unknown,Data Scientist
"

        Southern California Edison","Rosemead, CA",Unknown,Data Scientist
"

        PepsiCo",United States,Unknown,eCommerce Senior Data Scientist
"

        Bank of America","Charlotte, NC",Unknown,AML Data Scientist
"
        Quaxigma","Schaumburg, IL",Unknown,Data Scientist
"

        MedPro Group","Fort Wayne, IN",Unknown,Business Analyst - Data Science
"

        University Hospitals","Mayfield Heights, OH",Unknown,Data Scientist
"
        TeleSense, Inc.","Sunnyvale, CA",Unknown,Senior Data Scientist
"

        eXcell","Redmond, WA",Unknown,Database Engineer / Data Scientist
"

        Presbyterian Healthcare Services","Albuquerque, NM",Unknown,DATA SCIENTIST - EVIDENCE BASED CARE DESIGN
"

        Amazon Web Services, Inc.","Austin, TX",Unknown,Data Scientist - Nationwide Opportunities
"

        Worldventures","Plano, TX",Unknown,Data Scientist
"
        DTN, LLC","West Lafayette, IN",Unknown,Data Scientist
"

        University of California San Francisco","San Francisco, CA",Unknown,Research Data Scientist
"
        Kayrros","Houston, TX",Unknown,Data Scientist M/F
"

        Ford Motor Company","Palo Alto, CA",Unknown,Data Scientist
"
        RMDS Lab, Inc","Pasadena, CA",Unknown,Data Scientist
"
        Mindstrong","Mountain View, CA",Unknown,Data Scientist
"

        Biogen","Cambridge, MA",Unknown,Data Scientist (Cambridge or RTP)
"

        Snapchat","Los Angeles, CA",Unknown,Data Scientist
"

        Enterprise Holdings","St. Louis, MO",Unknown,Data Scientist Senior
"
        CI Software","Vicksburg, MS","


                            $55 - $105 an hour

",Data Analytics / HPC / Computational Data Scientist
"

        Verizon","Boston, MA",Unknown,Data Scientist
"

        Wayfair","Boston, MA",Unknown,Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist 3
"
        Eclipse Gaming Systems","Atlanta, GA",Unknown,Sr. Data Analyst
"

        Vertex Pharmaceuticals","Boston, MA",Unknown,Healthcare Data Scientist
"

        Opendoor","Los Angeles, CA",Unknown,Data Scientist (Analytics)
"

        Shell","Houston, TX",Unknown,"Data Scientist Researcher- Houston, TX"
"

        Uber","San Francisco, CA",Unknown,2020 PhD University Graduate - Data Scientist - Uber Eats (San Francisco)
"
        BerlandTeam","New York, NY",Unknown,Junior Data Scientist
"

        Gallup","New York, NY",Unknown,Data Scientist
"

        NXP Semiconductors","Austin, TX",Unknown,University Recruiting Campus Events - Entry Level Data Scientists
"

        University of Minnesota","Minneapolis, MN",Unknown,Data Scientist/Sr. Scientific Programmer (Researcher 6)
"

        Signature Science, LLC","Austin, TX",Unknown,Chemometrician/Chemical Data Scientist
"
        LeanTaaS","Charlotte, NC",Unknown,Data Scientist - Santa Clara/Charlotte
"

        Apple","Santa Clara Valley, CA",Unknown,"Data Scientist - Fraud Engineering, Algorithms, and Risk"
"

        United Technologies Corp. Headquarters","Atlanta, GA",Unknown,Data Scientist
"

        Paypal","San Jose, CA",Unknown,Lead Data Scientist
"

        Intermountain Healthcare","Salt Lake City, UT",Unknown,Data Analyst-Statistical-Stf
"
        Precima","Chicago, IL",Unknown,Data Scientist
"

        Inspire Brands","Atlanta, GA",Unknown,Data Scientist - Team Lead
"

        Paylocity",Remote,Unknown,Data Scientist
"

        Paylocity",Remote,Unknown,Data Scientist Manager
"
        DeNOVO Solutions","Aurora, CO",Unknown,Junior Data Scientist
"
        Decentrix","Denver, CO",Unknown,DATA SCIENTIST
"
        Duolingo","Pittsburgh, PA",Unknown,"Data Scientist, Intern (2020)"
"

        Twitter","San Francisco, CA",Unknown,Product Data Scientist - Ads Data Science
"

        Wolverine Trading","Chicago, IL",Unknown,Data Scientist / Quantitative Researcher – High Frequency Futures
"

        National Oilwell Varco","Houston, TX",Unknown,Data Scientist
"

        Battelle","Boulder, CO",Unknown,Assistant Ecological Data Scientist
"

        Cloudflare","Austin, TX",Unknown,Product Cost Data Scientist
"

        ASSURANCE","Seattle, WA",Unknown,Data Scientist
"

        Salesforce","San Francisco, CA",Unknown,Data Scientist
"

        USAA","San Antonio, TX",Unknown,Data Scientist Senior
"

        CVS Health","Northbrook, IL",Unknown,Data Scientist Full-Time Student Opportunity (Graduate & PhD)
"

        The Church of Jesus Christ of Latter-day Saints","Salt Lake City, UT",Unknown,"Data Scientist Sr. - Welfare and Self Reliance Services, SLC, UT"
"
        Alagar","Plano, TX",Unknown,Data Scientist
"

        Bethesda Softworks","Austin, TX",Unknown,Sr. Data Analyst
"

        UTMB","Galveston, TX","


                            $101,231 a year

",Clinical Data Scientist
"
        RISIRISA","New York, NY",Unknown,Data Scientist
"

        Oath Inc","Champaign, IL",Unknown,Data Scientist
"
        Brain Corp","San Diego, CA",Unknown,"Data Scientist (Entry-Level), Product Analytics (Temporary)"
"

        Apple","Austin, TX",Unknown,Data Science Engineer
"
        rMark Bio","Chicago, IL",Unknown,Data Scientist
"
        Noise Consulting Group, Inc","Saint Charles, MO","


                            $25 - $30 an hour

",Data Scientist
"

        Walmart","Bentonville, AR",Unknown,Data Scientist - Tech
"

        UnitedHealth Group","Eden Prairie, MN",Unknown,Principal Data Scientist
"

        AccruePartners","Winston-Salem, NC",Unknown,Data Scientist
"

        Systems Planning and Analysis","Alexandria, VA",Unknown,Data Scientist
"

        Delta Air Lines","Atlanta, GA",Unknown,"Data Scientist, Operations Decision Science"
"

        Zillow Group","Seattle, WA",Unknown,Data Scientist - New Construction
"

        SparkCognition","Austin, TX",Unknown,Data Scientist - Oil & Gas Industry
"

        Inspire Brands","Atlanta, GA",Unknown,Data Scientist
"

        Circle K","Tempe, AZ",Unknown,Data Scientist
"
        Sky RPO","San Francisco, CA","


                            $100,000 - $150,000 a year

",Data Scientist
"

        GOAT","Los Angeles, CA",Unknown,Data Scientist
"

        Dow Jones","New York, NY",Unknown,Data Scientist
"

        Abbott Laboratories","Irving, TX",Unknown,Data Scientist
"

        Battelle","Columbus, OH",Unknown,Data Scientist I
"

        Ally Financial Inc.","Charlotte, NC",Unknown,Data Scientist
"
        Elder Research Inc","Fort Meade, MD",Unknown,Data Scientist - Defense & Intelligence
"

        Ascensia Diabetes Care","Valhalla, NY",Unknown,Sr. Data Scientist
"

        Prudential","Roseland, NJ",Unknown,Senior Data Scientist
"

        Vanguard","Malvern, PA",Unknown,Data Scientist II
"

        NTT DATA Services","Plano, TX",Unknown,Data Scientist
"

        Allstate","Northbrook, IL",Unknown,Risk Analytics Data Scientist
"

        kraken","San Francisco, CA",Unknown,Data Scientist - Trading Technologies
"

        Cisco Careers","San Jose, CA",Unknown,Data Scientist (Intern) - United States
"

        Chan Zuckerberg Initiative","Redwood City, CA",Unknown,"Data Scientist, Education"
"

        Pokemon Company International","Bellevue, WA",Unknown,Data Scientist
"
        Energy Sense Finance","Tampa, FL",Unknown,Data Scientist
"
        ISE Data Systems","Reston, VA",Unknown,Data Scientist
"

        Bell Textron Inc.","Fort Worth, TX",Unknown,2020 Summer Intern - V-22 Readiness Data Scientist
"

        Pfizer Inc.","Peapack, NJ","


                            $50 - $55 an hour

",Data Scientist
"

        Beyond Finance","Santa Fe, NM",Unknown,Data Scientist
"

        Intel","Hillsboro, OR",Unknown,RET DESIGN DATA SCIENTIST
"

        GEHA","Lee's Summit, MO",Unknown,Data Scientist
"

        Nestle USA","Arlington, VA",Unknown,Data Scientist – Statistical Forecasting & Modeling
"

        JBS USA Food Company","Greeley, CO",Unknown,QLIKSENSE DATA SCIENTIST
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist
"

        ECLIPSE GAMING SYSTEMS","Atlanta, GA",Unknown,Sr. Data Analyst
"
        CodaMetrix","Boston, MA",Unknown,Machine Learning Senior Data Scientist
"

        Perspecta","Washington, DC",Unknown,Data Scientist
"

        Battelle","Columbus, OH",Unknown,Cyber Data Scientist I
"

        Hy-Vee","West Des Moines, IA",Unknown,Data Science and Analytics Internship- Summer 2020
"

        CGG","Houston, TX",Unknown,Data Scientist
"
        First American","Santa Ana, CA",Unknown,Data Scientist
"

        BlackRock","Palo Alto, CA",Unknown,Data Scientist - AI Labs
"

        Walmart","Bentonville, AR",Unknown,Data Scientist - Fraud Detection
"

        IBM",United States,Unknown,2020 Intern - Senior Data Scientist
"

        S&P Global","New York, NY",Unknown,Data Scientist
"

        Analysis Group","Boston, MA",Unknown,Data Scientist
"

        Zillow Group","Seattle, WA",Unknown,"Data Scientist, Zillow Offers ML Team"
"

        Syngenta","Chicago, IL",Unknown,Data Scientist
"

        ZEISS Group","Dublin, CA",Unknown,Data Scientist
"

        Intuit","San Diego, CA",Unknown,Senior Data Scientist - Analytics
"

        Sartorius North America",New York State,Unknown,Senior Data Scientist
"

        Strategic Financial Solutions","New York, NY",Unknown,Senior Data Scientist
"
        Eclipse Gaming Systems","Atlanta, GA",Unknown,Sr. Data Analyst
"

        Gates Corporation","Denver, CO",Unknown,Senior Data Scientist
"

        U.S. Anesthesia Partners","Dallas, TX",Unknown,Data Scientist
"
        Descartes Labs","Santa Fe, NM",Unknown,Applied Scientist (Agronomy)
"

        Walmart","Sunnyvale, CA",Unknown,2020 Summer Intern - Data Scientist/Data Analytics (.com Calif Temp Mgmt)
"

        Walmart","San Bruno, CA",Unknown,FY20 Intern Conversion: Data Scientist
"

        Pacific Northwest National Laboratory","Richland, WA",Unknown,Data Scientist - Intermediate
"

        Change Research","Palo Alto, CA","


                            $90,000 - $150,000 a year

",Data Scientist
"

        Customer Value Partners","Arlington, VA",Unknown,Data Scientist
"
        Genocea","Cambridge, MA",Unknown,Data Scientist
"

        Booz Allen Hamilton","Denver, CO",Unknown,"Data Scientist, Senior"
"

        NYC Data Science Academy","New York, NY",Unknown,Data Scientist/Data Science Instructor
"

        Humana","Boston, MA",Unknown,Cognitive/Machine Learning - Data Scientist
"

        Deloitte","Raleigh, NC",Unknown,Data Scientist - Hux
"

        eBay Inc.","San Jose, CA",Unknown,Data scientist
"
        Techprofy","Kansas City, KS","


                            $50 - $60 an hour

",Senior Data Analyst
"

        Aurora","San Francisco, CA",Unknown,Data Scientist
"

        Meridian Technology Group","Atlanta, GA","


                            $90,000 - $100,000 a year

",Data Scientist
"

        Lonza","Portsmouth, NH",Unknown,Data Scientist
"
        INFISWIFT TECHNOLOGIES","Milpitas, CA",Unknown,Data Scientist Intern
"

        American Express",United States,Unknown,Campus Recruitment – 2020 Data Scientists / Analytics Managers / Product Managers Full-Time Opportunities in Credit & Fraud Risk
"

        Ezoic","Carlsbad, CA",Unknown,Data Scientist
"

        Comcentric","Broomfield, CO",Unknown,"Data Scientist in Broomfield, CO"
"

        JB Hunt","Lowell, AR",Unknown,Data Scientist
"
        Verb Surgical","Mountain View, CA",Unknown,Data Scientist - Deep Learning
"

        Integral Ad Science","Chicago, IL",Unknown,Data Scientist
"
        Adam Kay Group","Atlanta, GA","


                            $110,000 - $125,000 a year

",Data Scientist
"

        Spark Energy, L.P.","Houston, TX",Unknown,Senior Business Data Analyst
"

        NTT DATA Services","Plano, TX",Unknown,Data Scientist
"
        Profitect Inc.","Burlington, MA",Unknown,Data Scientist / Machine Learning Architect / Developer
"

        Jet Propulsion Laboratory","La Cañada Flintridge, CA",Unknown,Data Scientist I
"

        Verizon","Houston, TX",Unknown,Senior Data Scientist
"
        SelectMinds","Houston, TX",Unknown,Data Scientist
"

        Waystar","Boston, MA",Unknown,Data Scientist
"

        Crossover Health","San Clemente, CA",Unknown,Data Scientist
"

        University of Utah","Salt Lake City, UT","


                            $75,900 - $130,049 a year

",Quantitative Data Scientist
"

        Pieces Technologies","Dallas, TX",Unknown,Data Scientist I
"
Data Ninjas Inc","Colorado Springs, CO","


                            $110,000 - $120,000 a year

",Senior Data Scientist
"

        Accenture","Washington, DC",Unknown,Federal - Data Scientist
"

        the NBA","New York, NY",Unknown,"Data Scientist, Basketball Integrity"
"

        American Family Insurance","Madison, WI",Unknown,Data Scientist
"

        AccruePartners","Fort Mill, SC",Unknown,Data Scientist
"

        Zoro Tools","Buffalo Grove, IL",Unknown,"Data Science Intern, Zoro"
"

        Stanley Black & Decker","New Britain, CT",Unknown,Principal Data Scientist
"

        Stanley Black & Decker","New Britain, CT",Unknown,Lead Data Scientist
"

        AvMed Health Plans","Gainesville, FL",Unknown,AvMed Junior Data Scientist
"

        Twitch","San Francisco, CA",Unknown,Data Scientist
"

        National Renewable Energy Laboratory","Golden, CO",Unknown,Data Scientist for Materials Science
"

        Uber","San Francisco, CA",Unknown,2020 PhD Data Scientist Internship - Uber Eats (San Francisco)
"

        Facebook","Austin, TX",Unknown,"North America Market Specialist, Global Operations, University Grad"
"
        ZUNA","Greenwich, CT","


                            $109,000 - $130,000 a year

",Data Scientist
"
        Nehemiah Security",United States,Unknown,Data Scientist
"

        viagogo","New York, NY",Unknown,Data Scientist
"

        ViaSat","Carlsbad, CA",Unknown,Data Scientist Intern
"
        EV Technologies",United States,Unknown,Data Scientist
"

        Adperio","Denver, CO",Unknown,Data Scientist Senior - (Open to Remote)
"
        #twiceasnice Recruiting","Pittsburgh, PA",Unknown,Data Scientist
"

        Veritone","San Diego, CA",Unknown,Data Analyst
"

        CVS Health","New York, NY",Unknown,Data Science Full-Time Student Opportunity (Undergraduate)
"

        Trunk Club","Chicago, IL",Unknown,Data Scientist
"
        G-Research","New York, NY",Unknown,Data Science Internship
"
        Tiger Analytics","Chicago, IL",Unknown,Data Scientist
"

        Microsoft","Redmond, WA",Unknown,"Data Scientist II, Healthcare AI"
"

        Oracle","Culver City, CA",Unknown,"Data Scientist, OCI"
"
        BlackLocus","Austin, TX",Unknown,Senior Data Scientist
"
        Feedzai","Atlanta, GA",Unknown,Data Scientist
"
        AccuraGen","Menlo Park, CA",Unknown,Genomics Data Scientist
"

        AETNA","Orlando, FL",Unknown,"(3) Senior Data Scientist - (Machine Learning, R, Python) (62398BR)"
"

        Opcity","Austin, TX",Unknown,Senior Data Scientist
"
        RiVi Consulting Group","New York, NY",Unknown,Data Scientist
"

        Vertiv Co.","Westerville, OH",Unknown,Intern- Data Scientist
"

        Covenant Eyes","Owosso, MI",Unknown,Data Scientist
"

        NT Concepts","Vienna, VA",Unknown,Data Scientist (Top Secret)
"

        Intuit","Mountain View, CA",Unknown,"Senior Data Scientist, Business Analytics"
"

        Eclipse Gaming","Duluth, GA",Unknown,Sr Mathematician
"

        Ally Financial Inc.","Charlotte, NC",Unknown,Data Scientist
"

        Inviso Corporation","Bellevue, WA",Unknown,Sr Data Analyst – 18 Month Microsoft Contract
"
        Lateral Systems INC","Atlanta, GA","


                            $60 - $70 an hour

",Senior Data Scientist
"

        Gap Inc.","San Francisco, CA",Unknown,Data Scientist
"

        Apple","Santa Clara Valley, CA",Unknown,Data Scientist (Machine Learning)
"
        AvantStay","Los Angeles, CA","


                            $80,000 - $100,000 a year

",Data Scientist
"

        Catalina Marketing","Atlanta, GA",Unknown,Data Scientist
"

        Dematic","Atlanta, GA",Unknown,Data Scientist
"

        Valley Children's Healthcare","Madera, CA",Unknown,Clinical Informatics Data Scientist
"
        Qikspace",United States,Unknown,data scientist
"
        Red Violet Inc.","Seattle, WA",Unknown,DATA SCIENTIST
"

        Bolt","San Francisco, CA",Unknown,Data Scientist
"

        Navy Federal Credit Union","Vienna, VA",Unknown,Data Scientist (Business Intelligence Analyst)
"

        Perspecta","Washington, DC",Unknown,Senior Data Scientist
"

        Colgate-Palmolive","Piscataway, NJ",Unknown,Data Scientist/Sr. Data Scientist
"

        Garmin","Olathe, KS",Unknown,Senior Data Scientist
"
        M&A Executive Search","Peoria, IL",Unknown,Senior Data Scientist
"

        Deloitte","New York, NY",Unknown,Data Scientist - Hux
"

        Verizon","Ashburn, VA",Unknown,Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist
"

        NTT DATA Services","Plano, TX",Unknown,Data Scientist
"

        AASKI Technology, Inc.","Aberdeen Proving Ground, MD",Unknown,Safety Data Scientist
"

        Genentech","South San Francisco, CA",Unknown,"Principal Data Scientist, People Analytics"
"

        Oracle",United States,Unknown,Data Scientist 1
"

        Apple","Austin, TX",Unknown,Data Scientist
"

        Twitch Interactive, Inc.",Oregon,Unknown,Data Scientist
"

        Thinkful",Remote,Unknown,"Senior Data Analyst, Education"
"
        Codazen","Salt Lake City, UT","


                            $25 - $30 an hour

",Data Scientist in Applied Artificial Intelligence (Internship)
"

        Dow Jones","New York, NY","


                            $900 a week

",Summer 2020 Data Science Internship at The Wall Street Journal
"

        Ascension","Austin, TX",Unknown,Senior Data Analyst
"

        Sense Corp",Colorado,Unknown,Snowflake Data Scientist
"
        Beyond Outsourcing Inc.","Atlanta, GA",Unknown,Data Scientist
"

        PETSMART","Phoenix, AZ",Unknown,Junior Data Scientist Internship
"

        Verizon","Cary, NC",Unknown,Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist 1
"

        Ultimate Software","Fort Lauderdale, FL",Unknown,"HEAD OF PRODUCT, DATA SCIENCE"
"

        Verizon","Irving, TX",Unknown,Distinguished Data Scientist
"

        PETSMART","Phoenix, AZ",Unknown,Data Scientist
"

        KEYW Corporation","Austin, TX",Unknown,Data Scientist
"

        Early Warning Services","Chicago, IL",Unknown,Data Scientist
"
        CharterUP","Atlanta, GA",Unknown,Data Scientist
"
        Sentar, Inc.","Honolulu, HI",Unknown,Intelligence/ Data Scientist Level 1
"
        PYA Analytics","Knoxville, TN",Unknown,Data Scientist
"

        Smith & Nephew","Memphis, TN",Unknown,Senior Data Scientist
"
        Ganit",United States,Unknown,Data Scientist
"
        SoftVision - TAMS","Johns Creek, GA",Unknown,"Data Scientist (PYTHON, HADOOP)"
"

        Advance America","Spartanburg, SC",Unknown,Sr. Data Scientist
"

        Lockheed Martin Corporation","Rochester, NY",Unknown,Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data scientist
"

        NTT DATA Services","Plano, TX",Unknown,Data Scientist
"
        Partek Inc.","St. Louis, MO",Unknown,Genomics Field Application Scientist - Experience with NGS Data Required
"
        Pepperdata",United States,Unknown,Data Scientist
"
        Sphere Inc.","Austin, TX",Unknown,Practice Leader - Data & Analytics
"
        OJO Labs","Austin, TX",Unknown,Senior Data Scientist
"

        Transcorr National Logistics","Fort Collins, CO",Unknown,Data Scientist
"

        GCM Grosvenor","Chicago, IL",Unknown,Data Scientist
"

        NXP Semiconductors","Austin, TX",Unknown,University Recruiting Campus Events - Internships for Data Scientists
"

        Clarkston Consulting",United States,Unknown,Data Scientist
"

        Procter and Gamble","Cincinnati, OH",Unknown,Data Scientist-Master’s Degree
"

        Walmart","Bentonville, AR",Unknown,Data Scientist - Associate Digital Experience
"
        Digitalogy",Remote,"


                            $50 - $75 an hour

",CV/ML Engineers - Contract
"

        Allstate","Chicago, IL",Unknown,Risk Analytics Data Scientist
"

        UCLA Health","Los Angeles, CA",Unknown,Senior Data Scientist
"

        ECLIPSE GAMING SYSTEMS","Atlanta, GA",Unknown,Sr. Data Analyst
"

        NTT DATA Services","Plano, TX",Unknown,Data Scientist
"

        Cox Automotive","Irvine, CA",Unknown,Senior Data Scientist
"

        Trunk Club","Chicago, IL",Unknown,Data Scientist
"

        Cigna",United States,Unknown,Senior Data Scientist-Healthcare Outcomes
"

        DataLab USA",United States,Unknown,Data Scientist/Statistician/Predictive Modeler
"

        Vadata, Inc.","Denver, CO",Unknown,Data Scientist
"
Data Quantist","Austin, TX",Unknown,Senior Data Scientist
"

        OMP","Atlanta, GA",Unknown,Data Scientist
"

        Facebook","New York, NY",Unknown,"Data Scientist, Analytics, Intern (PhD)"
"

        DXC",California,Unknown,Data Analyst/Scientist
"

        Valiant Integrated Services","Camp Smith, HI",Unknown,Data Scientist
"
        nFolks Ltd","Dallas, TX",Unknown,"Data Scientist -Dallas, TX"
"

        Perspecta","Washington, DC",Unknown,Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist
"

        NTT DATA Services","Plano, TX",Unknown,Data Scientist
"

        Wells Fargo","Addison, TX",Unknown,Sr. Data Scientist / Analytic Consultant 5
"

        TriCom Quest","Torrance, CA",Unknown,Data Scientist / Machine Learning Engineer
"

        Leidos","Fort Meade, MD",Unknown,Data Scientist
"
        CI Software","Washington, DC","


                            $75 - $100 an hour

",HPC / Computational Data Scientist with Clearance
"
        Gateway Institute for Brain Research","Davie, FL",Unknown,Biostatistician/Data Scientist
"
        aThingz Inc.","Southfield, MI","


                            $45 - $75 an hour

",Data Scientist
"

        Comerica Bank","Dallas, TX",Unknown,"Marketing Data Scientist - Dallas, Texas"
"

        McDonald's Corporate","Chicago, IL",Unknown,Data Scientist
"

        Amazon Web Services, Inc.",United States,Unknown,Data Scientist - AI/ML - Media & Entertainment
"

        C&J Energy Services","Houston, TX",Unknown,Data Scientist
"
        Elutions","Delafield, WI",Unknown,Data Scientist
"
        2nd Order Solutions",Virginia,Unknown,Data Scientist
"

        Procter and Gamble","Cincinnati, OH",Unknown,Data Scientist-Master’s Degree Internship
"

        Royal Caribbean Cruises Ltd.","Miami, FL",Unknown,Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist
"

        Perspecta","Washington, DC",Unknown,Data Scientist
"

        TARGET","Minneapolis, MN",Unknown,Lead Data Scientist
"
        BlueVine","Redwood City, CA",Unknown,Senior Data Scientist
"

        Liberty Mutual Insurance","Boston, MA","


                            $150,000 - $197,000 a year

","Director II, Data Science"
"
        ODSC Hiring Partner","San Francisco Bay Area, CA","


                            $80,000 - $140,000 a year

",Data Scientist – Generalist
"

        Evalueserve","Minneapolis-Saint Paul, MN",Unknown,Data Scientist
"

        Corteva Agriscience","Johnston, IA",Unknown,Agronomic Data Scientist
"

        Knight Capital Funding","Fort Lauderdale, FL",Unknown,Data Scientist
"

        ICF","Minneapolis, MN",Unknown,Data Scientist
"
        Enable Data","Minneapolis, MN",Unknown,Data Scientist
"
        Yang2020","New York, NY","


                            $1,000 a month

",Data Analyst
"

        Rent-A-Center","Plano, TX",Unknown,Risk & Decision Analyst/Data Scientist
"

        Micro Focus","Plano, TX",Unknown,Data Scientist
"
        Big Bright International","Chicago, IL",Unknown,DATA SCIENTIST
"
        HVH Precision Analytics","Wayne, PA",Unknown,Senior Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist 1
"
        Eclipse Gaming Systems","Atlanta, GA",Unknown,Sr. Data Analyst
"

        GCP Applied Technologies","Cambridge, MA",Unknown,Data Scientist
"

        CVS Health","Woonsocket, RI",Unknown,"Analytics, Data Scientist"
"

        Apple","Santa Clara Valley, CA",Unknown,Search and Information Retrieval Engineer / Data Scientist (SIGIR 2019)
"
        Vizio Inc.","San Francisco, CA",Unknown,Data Scientist
"

        Yelp","San Francisco, CA",Unknown,Applied Data Scientist
"

        Intel","Santa Clara, CA",Unknown,Movidius Deep Learning Data Scientist
"

        Paylocity",Remote,Unknown,Data Scientist Manager
"

        InMoment","South Jordan, UT",Unknown,Data Scientist
"

        AGCO","Duluth, GA",Unknown,Data Scientist Job
"

        WeatherFlow","Fort Collins, CO",Unknown,Weather Data Engineer/Scientist
"
        Ironclad, Inc.","San Francisco, CA",Unknown,Machine Learning Data Scientist/Engineer
"
        Community Data Platforms","Nantucket, MA",Unknown,Predictive Data Analytics / Machine Learning
"

        SLEEP NUMBER","San Jose, CA",Unknown,Data Scientist
"

        Columbus Technologies and Services, Inc.","Pasadena, CA",Unknown,Data Scientist I - (Part-time)
"

        Adobe","San Francisco, CA",Unknown,Data Scientist
"
        Colsh Consultants",Tennessee,Unknown,Data Scientist
"

        EY",United States,Unknown,Data Scientist
"
        AWM SMART SHELF",United States,Unknown,Data Scientist
"

        Shutterfly","Redwood City, CA",Unknown,Data Scientist
"

        Hotwire","Seattle, WA",Unknown,Data Scientist II (Seattle)
"

        1-800-Flowers","Melrose Park, IL",Unknown,Data Scientist
"
        Voloridge Investment Management","Jupiter, FL",Unknown,Data Scientist
"

        Humana","Boston, MA",Unknown,Data Science / Business Intelligence / Informatics
"
        Systech Corp","New York, NY",Unknown,Data Scientist
"

        ProKarma","Tri-Cities, TN",Unknown,Data Scientist
"

        Jobot","New York, NY","


                            $175,000 - $200,000 a year

",Sr. Data Scientist - Fraud Detection/AML/Lower Manhattan
"

        TARGET","Minneapolis, MN",Unknown,Lead Data Scientist
"

        Urban Air Trampoline Park","Grapevine, TX",Unknown,Data Scientist
"

        3M","Maplewood, MN",Unknown,UR - Optimized Operations (O2) Data Scientist / Statistician
"

        CSG","Greenwood Village, CO",Unknown,Data Scientist
"

        Perspecta","Washington, DC",Unknown,Senior Data Scientist
"

        Rent the Runway","New York, NY",Unknown,Data Scientist
"
        DigitCompass","Time, IL","


                            $90,000 - $150,000 a year

",Data Scientist
"

        Ayata","Austin, TX",Unknown,Senior Data Scientist
"

        Logistics Management Institute","Tysons, VA",Unknown,Junior Data Scientist
"

        Uber","San Francisco, CA",Unknown,Data Scientist - Rides
"

        Archer Daniels Midland Company","Erlanger, KY",Unknown,"Data Scientist- Erlanger, KY"
"
        #twiceasnice Recruiting","Santa Ana, CA",Unknown,Data Scientist
"
        Plantek Consulting","New York, NY",Unknown,Data Scientist
"

        Realtor.com","Santa Clara, CA",Unknown,Principal Data Scientist
"

        Liberty Mutual Insurance","Boston, MA","


                            $93,400 - $134,100 a year

","Analyst II, Data Science"
"
        Feedzai","Atlanta, GA",Unknown,Data Scientist
"

        Grubhub","Chicago, IL",Unknown,Data Scientist I
"
        GovStrive LLC","Atlanta, GA",Unknown,Data Scientist I
"

        Facebook","New York, NY",Unknown,"Data Scientist, Product Analytics"
"

        UST Global","Aliso Viejo, CA",Unknown,Data Scientist
"

        Natera","Portland, OR",Unknown,Data Scientist
"

        Trinity Industries","Dallas, TX",Unknown,Data Scientist
"

        NBCUniversal","New York, NY",Unknown,"Data Science Spring 2020 Internships – New York, NY"
"

        Micron","Boise, ID",Unknown,Intern - Data Scientist (Spring 2020)
"

        Shutterfly","Redwood City, CA",Unknown,Jr. Data Scientist
"

        Deloitte","Arlington, VA",Unknown,Jr. Data Scientist
"

        Rapid Response Monitoring","Syracuse, NY",Unknown,Data Science & Analytics Specialist
"

        Republic Services","Phoenix, AZ",Unknown,Data Scientist (Data Analyst Marketing Segmentation)
"

        Capital One","New York, NY",Unknown,Data Engineer
"

        GeneDx","Gaithersburg, MD",Unknown,Genomic Data Scientist
"

        KPMG","Atlanta, GA",Unknown,Associate - Data & Analytics Modeler
"
        D. E. Shaw & Co., L.P.","New York, NY",Unknown,People Analytics Data Scientist
"

        ExxonMobil","Spring, TX",Unknown,Data Science Intern (BS / MS) - Intern
"

        Autodesk","San Francisco, CA",Unknown,Data Science Intern
"

        DICK'S Sporting Goods","Coraopolis, PA",Unknown,Data Scientist
"

        Ephesoft","Irvine, CA",Unknown,Data Scientist
"

        GreenKey","Chicago, IL",Unknown,Data Scientist
"

        Root Insurance Company","Columbus, OH",Unknown,"Data Scientist, Telematics"
"

        KOCH MINERALS","New York, NY",Unknown,Data Scientist (EFT Analytics)
"
        Primary Talent Partners","New Orleans, LA","


                            $60 - $65 an hour

",Sr. Data Analyst
"

        University of North Texas","Denton, TX",Unknown,Data Scientist
"
        Coffee Meets Bagel","San Francisco, CA",Unknown,Senior Product Data Scientist
"
        Envision LLC","St. Louis, MO",Unknown,"Data Scientist - Sr. with Python, R, Java"
"

        Affinity","San Francisco, CA",Unknown,Data Scientist
"

        KPMG","Charlotte, NC",Unknown,"Associate, Data Scientist, NLP, Financial Services"
"
        eNGINE","Pittsburgh, PA",Unknown,Data Scientist
"

        TDS Telecom","Madison, WI",Unknown,Sr. Data Analyst - Business Intelligence
